epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.414,1.94044,2.91162,1.28977,0.78483,0.57612,0.74026,0.34082,1.77087,1.50034,1.25356,0.000665931,0.000665931,0.000665931
2,497.51,1.69356,1.33337,1.20559,0.7465,0.61131,0.71218,0.31424,2.158,1.79301,1.48216,0.00124465,0.00124465,0.00124465
3,735.112,1.62532,1.25547,1.17725,0.75043,0.73995,0.76775,0.37711,1.70522,1.36854,1.19674,0.00173536,0.00173536,0.00173536
4,976.103,1.51007,1.15955,1.13795,0.73558,0.68691,0.77224,0.42748,1.52121,1.27492,1.12764,0.001604,0.001604,0.001604
5,1219.53,1.43649,1.09412,1.10206,0.77855,0.69013,0.78685,0.3948,1.67868,1.31247,1.19114,0.001472,0.001472,0.001472
6,1521.21,1.34138,1.07758,1.11139,0.82614,0.75933,0.85567,0.49569,1.42757,1.11785,1.08649,0.00134,0.00134,0.00134
7,1762.39,1.28528,1.00827,1.08797,0.73034,0.71429,0.78178,0.35289,1.94161,1.26695,1.34935,0.001208,0.001208,0.001208
8,1996.29,1.23734,0.96519,1.0716,0.86799,0.7573,0.88787,0.55809,1.30588,1.03158,1.04839,0.001076,0.001076,0.001076
9,2220.83,1.17696,0.9006,1.04261,0.82473,0.7912,0.86361,0.49297,1.49899,1.10773,1.12057,0.000944,0.000944,0.000944
10,2445.2,1.12767,0.84391,1.02309,0.89546,0.8415,0.93041,0.61212,1.21402,0.88636,1.014,0.000812,0.000812,0.000812
11,2673.38,1.08534,0.80055,1.01197,0.89555,0.84593,0.93047,0.61949,1.20444,0.86038,1.01598,0.00068,0.00068,0.00068
12,2892.88,1.04837,0.7636,0.99682,0.91203,0.85401,0.93866,0.64819,1.14547,0.80712,0.9976,0.000548,0.000548,0.000548
13,3111.39,1.0096,0.7234,0.98214,0.88464,0.83766,0.91995,0.61712,1.18364,0.89267,1.00487,0.000416,0.000416,0.000416
14,3342.61,0.96826,0.69579,0.96965,0.91401,0.86496,0.94446,0.65656,1.14706,0.77201,0.98599,0.000284,0.000284,0.000284
15,3567.34,0.93197,0.66604,0.95933,0.90819,0.87826,0.94667,0.68072,1.03854,0.75759,0.96048,0.000152,0.000152,0.000152
