epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,287.061,2.14713,4.4325,2.47755,0.74233,0.50843,0.5795,0.20461,2.66679,1.70617,2.8193,0.000665931,0.000665931,0.000665931
2,523.336,1.71148,1.69157,1.84298,0.75985,0.62487,0.66675,0.22059,2.51687,1.98116,2.75604,0.00124465,0.00124465,0.00124465
3,756.778,1.63549,1.48813,1.76185,0.80403,0.6813,0.74369,0.27993,2.33758,1.51012,2.53579,0.00173536,0.00173536,0.00173536
4,983.482,1.53566,1.39767,1.66871,0.78381,0.67727,0.79752,0.42548,1.61289,1.33045,1.74234,0.001604,0.001604,0.001604
5,1209.28,1.43282,1.30801,1.58147,0.77801,0.73365,0.8303,0.46589,1.51975,1.24544,1.69012,0.001472,0.001472,0.001472
6,1474.25,1.348,1.23648,1.61453,0.76014,0.73905,0.81816,0.43401,1.69449,1.27099,1.83068,0.00134,0.00134,0.00134
7,1697.45,1.30329,1.16058,1.57846,0.84451,0.7929,0.88649,0.52278,1.33744,1.17229,1.54501,0.001208,0.001208,0.001208
8,1920.7,1.23424,1.09447,1.52002,0.82863,0.77398,0.87589,0.53796,1.30709,1.13438,1.53726,0.001076,0.001076,0.001076
9,2145.96,1.19941,1.02543,1.48787,0.86932,0.83933,0.91161,0.5919,1.18401,1.03118,1.43367,0.000944,0.000944,0.000944
10,2376.85,1.15802,0.96476,1.45404,0.88825,0.87442,0.9322,0.59712,1.21434,0.96995,1.44798,0.000812,0.000812,0.000812
11,2613.75,1.09944,0.91092,1.40914,0.90179,0.8707,0.9407,0.62417,1.17685,0.92307,1.43551,0.00068,0.00068,0.00068
12,2850.22,1.05497,0.85705,1.37236,0.90953,0.86992,0.94132,0.65841,1.05903,0.87245,1.35846,0.000548,0.000548,0.000548
13,3083.86,1.01089,0.8174,1.34078,0.90667,0.89025,0.94901,0.67001,1.02707,0.84079,1.33919,0.000416,0.000416,0.000416
14,3311.43,0.97599,0.77967,1.32104,0.91469,0.88973,0.95177,0.67684,1.02191,0.82197,1.32681,0.000284,0.000284,0.000284
15,3537.68,0.94007,0.74544,1.29271,0.91917,0.88634,0.95242,0.68825,0.98634,0.79703,1.30088,0.000152,0.000152,0.000152
