epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,253.47,1.98154,2.99407,1.27693,0.73901,0.58003,0.69669,0.31768,1.96192,1.52081,1.30619,0.00998989,0.00332996,0.00998989,0.00332996,0.00998989,0.00332996,0.00998989,0.00332996
2,478.034,1.70092,1.34749,1.19705,0.7283,0.59176,0.73102,0.34354,1.83385,1.41588,1.27819,0.0193302,0.00644341,0.0193302,0.00644341,0.0193302,0.00644341,0.0193302,0.00644341
3,698.994,1.65479,1.24611,1.18467,0.80585,0.66759,0.79617,0.39291,1.74146,1.36262,1.24103,0.0280106,0.00933685,0.0280106,0.00933685,0.0280106,0.00933685,0.0280106,0.00933685
4,931.709,1.5553,1.15221,1.15363,0.70432,0.61757,0.74068,0.37955,2.01013,1.2885,1.34497,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,1170.51,1.42358,1.03834,1.0994,0.83425,0.71403,0.82071,0.46493,1.58584,1.20983,1.15024,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,1392.32,1.33456,0.94695,1.06619,0.68709,0.622,0.70394,0.29218,2.41022,1.32232,1.60079,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,1611.35,1.27073,0.88702,1.04102,0.60929,0.37806,0.45768,0.16454,3.3182,1.96094,2.24369,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,1838.41,1.21312,0.82797,1.02139,0.90067,0.85871,0.92357,0.60913,1.23446,0.8515,1.02714,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,2054.34,1.16947,0.79878,1.00516,0.81747,0.73787,0.81731,0.41181,1.9792,1.09089,1.30218,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,2268.94,1.1364,0.76313,0.99478,0.8327,0.76945,0.85463,0.42213,1.9433,1.06235,1.32938,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,2483.36,1.1183,0.7417,0.98987,0.91011,0.88504,0.94152,0.64746,1.16888,0.78232,1.00598,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,2698.46,1.08864,0.71896,0.97875,0.92637,0.88008,0.94169,0.62885,1.23116,0.77332,1.01616,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,2913.45,1.0616,0.69461,0.97199,0.92781,0.89464,0.94682,0.67581,1.07621,0.72459,0.97797,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,3143.12,1.04118,0.67565,0.96267,0.91952,0.88753,0.94733,0.65342,1.17366,0.74622,1.00268,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,3370.9,1.02383,0.66321,0.95967,0.93138,0.90042,0.95471,0.66983,1.14411,0.69588,0.98961,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
