epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.684,1.47512,1.82136,1.1115,0.96972,0.97184,0.97552,0.62286,1.27898,0.66037,1.0697,0.000665644,0.000665644,0.000665644
2,299.733,1.32497,0.72596,1.08346,0.95929,0.96262,0.96352,0.62378,1.26605,0.62308,1.08723,0.00124438,0.00124438,0.00124438
3,431.954,1.28626,0.66979,1.08013,0.97495,0.95961,0.979,0.65673,1.24074,0.59557,1.06866,0.00173511,0.00173511,0.00173511
4,561.302,1.19076,0.60685,1.04544,0.975,0.98098,0.98432,0.67675,1.15476,0.55782,1.03276,0.001604,0.001604,0.001604
5,691.031,1.1126,0.55841,1.01614,0.98652,0.98569,0.98953,0.71998,1.05102,0.49981,0.99658,0.001472,0.001472,0.001472
6,855.216,1.04532,0.51304,1.01222,0.98386,0.98485,0.98846,0.70858,1.02467,0.50788,0.99661,0.00134,0.00134,0.00134
7,979.254,0.98704,0.48678,0.98708,0.97178,0.97323,0.98146,0.64758,1.25675,0.54999,1.08768,0.001208,0.001208,0.001208
8,1102.66,0.92661,0.46012,0.96391,0.98366,0.98663,0.98884,0.76407,0.92996,0.44815,0.9633,0.001076,0.001076,0.001076
9,1226.59,0.89329,0.44104,0.95223,0.97772,0.98218,0.98646,0.73537,1.00886,0.46458,0.9674,0.000944,0.000944,0.000944
10,1350.57,0.85363,0.42067,0.94135,0.98752,0.98627,0.99239,0.78503,0.85077,0.41677,0.93851,0.000812,0.000812,0.000812
11,1475.85,0.81861,0.40734,0.92865,0.98931,0.98546,0.99243,0.79002,0.82596,0.4015,0.92669,0.00068,0.00068,0.00068
12,1600.59,0.78677,0.39264,0.91663,0.98987,0.98454,0.99242,0.80402,0.8019,0.38432,0.91616,0.000548,0.000548,0.000548
13,1724.46,0.74836,0.37435,0.90116,0.98983,0.9881,0.99288,0.82694,0.729,0.35853,0.89509,0.000416,0.000416,0.000416
14,1850.84,0.71459,0.35845,0.89214,0.98986,0.99031,0.99298,0.83434,0.7099,0.3558,0.89023,0.000284,0.000284,0.000284
15,1977.17,0.69143,0.34525,0.88656,0.99054,0.99041,0.99305,0.83782,0.69532,0.34334,0.88321,0.000152,0.000152,0.000152
