epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.579,1.47221,1.70969,1.09801,0.97125,0.96662,0.9753,0.63178,1.26107,0.63072,1.04284,0.000665644,0.000665644,0.000665644
2,284.101,1.29815,0.70409,1.05681,0.96415,0.9309,0.97147,0.62101,1.34966,0.70367,1.09582,0.00124438,0.00124438,0.00124438
3,414.312,1.27072,0.65443,1.05587,0.94573,0.94922,0.97134,0.60631,1.28068,0.61176,1.09445,0.00173511,0.00173511,0.00173511
4,543.344,1.17315,0.59428,1.02354,0.97722,0.97761,0.98448,0.70705,1.09484,0.52206,1.00931,0.001604,0.001604,0.001604
5,672.598,1.07881,0.539,0.99108,0.98403,0.98108,0.98511,0.71054,1.08262,0.49819,1.01333,0.001472,0.001472,0.001472
6,840.669,1.03433,0.50666,0.98886,0.98764,0.98454,0.98954,0.7455,0.96327,0.46742,0.9636,0.00134,0.00134,0.00134
7,964.56,0.97494,0.48051,0.96214,0.98591,0.98531,0.99054,0.76211,0.89165,0.44916,0.94133,0.001208,0.001208,0.001208
8,1088.72,0.91214,0.45488,0.94123,0.98813,0.98361,0.99086,0.77055,0.87305,0.43988,0.92859,0.001076,0.001076,0.001076
9,1212.78,0.8779,0.43452,0.92929,0.98778,0.98899,0.99164,0.78576,0.82702,0.40542,0.92165,0.000944,0.000944,0.000944
10,1336.02,0.84191,0.41826,0.92123,0.98726,0.98381,0.99121,0.79915,0.80441,0.40114,0.91432,0.000812,0.000812,0.000812
11,1464.36,0.80536,0.39895,0.90826,0.98779,0.98846,0.9923,0.81359,0.77448,0.38318,0.89955,0.00068,0.00068,0.00068
12,1588.06,0.77645,0.38529,0.89774,0.9907,0.98938,0.99292,0.82661,0.73006,0.36643,0.88402,0.000548,0.000548,0.000548
13,1712.18,0.74296,0.36921,0.88546,0.99106,0.98938,0.99249,0.81916,0.74677,0.36218,0.88832,0.000416,0.000416,0.000416
14,1875.34,0.70643,0.35588,0.87632,0.99099,0.99014,0.99285,0.83223,0.7146,0.34857,0.88169,0.000284,0.000284,0.000284
15,1998.42,0.68353,0.34002,0.87223,0.99236,0.98874,0.99311,0.84419,0.67439,0.33309,0.86858,0.000152,0.000152,0.000152
